Time stamp,System power generated | (kW),Weather file ambient temperature | (C),AC inverter output power | (W),AC inverter output power before system availability | (W),Angle of incidence | (degrees),Albedo,Calculated self-shading factor for beam radiation,Calculated self-shading factor for ground-reflected diffuse radiation,Calculated self-shading factor for sky diffuse radiation,DC inverter input power | (W),DC power loss due to snow | (%),External shading factor for beam radiation,Inverter efficiency | (%),Module temperature | (C),Soiling factor,Plane of array irradiance | (W/m2),System power before grid curtailment | (kW),Sun up over horizon | (0/1),System power before grid interconnect | (kW),Transmitted plane of array irradiance | (W/m2),Weather file beam irradiance | (W/m2),Weather file diffuse irradiance | (W/m2),Weather file global horizontal irradiance | (W/m2),Weather file snow depth | (cm),Weather file wind speed | (m/s)
"Jan 1, 12:00 am",0,7.1,0,0,0,0.16,1,1,1,0,0,1,0,7.1,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 1, 01:00 am",0,6.8,0,0,0,0.16,1,1,1,0,0,1,0,6.8,0,0,0,0,0,0,0,0,0,nan,1.1
"Jan 1, 02:00 am",0,7.3,0,0,0,0.16,1,1,1,0,0,1,0,7.3,0,0,0,0,0,0,0,0,0,nan,0.9
"Jan 1, 03:00 am",0,7.8,0,0,0,0.16,1,1,1,0,0,1,0,7.8,0,0,0,0,0,0,0,0,0,nan,0.7
"Jan 1, 04:00 am",0,7.3,0,0,0,0.16,1,1,1,0,0,1,0,7.3,0,0,0,0,0,0,0,0,0,nan,0.8
"Jan 1, 05:00 am",0,6.7,0,0,0,0.16,1,1,1,0,0,1,0,6.7,0,0,0,0,0,0,0,0,0,nan,1
"Jan 1, 06:00 am",0,6.8,0,0,0,0.16,1,1,1,0,0,1,0,6.8,0,0,0,0,0,0,0,0,0,nan,1
"Jan 1, 07:00 am",0.00459831,7.9,4.59831,4.59831,78.1122,0.16,1,1,1,8.56031,0,1,53.7166,8.42684,0,18.436,0.00459831,1,0,16.494,33,12,13,nan,1
"Jan 1, 08:00 am",0.192776,10.2,192.776,192.776,66.207,0.16,1,1,1,203.651,0,1,94.6601,18.2691,0,240.527,0.192776,1,0,231.569,394,61,138,nan,1.2
"Jan 1, 09:00 am",0.31743,12.7,317.43,317.43,55.3288,0.16,1,1,1,332.884,0,1,95.3575,24.8124,0,383.16,0.31743,1,0,379.394,443,103,251,nan,1.5
"Jan 1, 10:00 am",0.514688,14.4,514.688,514.688,46.5225,0.16,1,1,1,537.389,0,1,95.7758,34.1053,0,637.434,0.514688,1,0,633.979,767,81,414,nan,1.6
"Jan 1, 11:00 am",0.483539,15.4,483.539,483.539,41.178,0.16,1,1,1,505.095,0,1,95.7322,33.175,0,601.474,0.483539,1,0,596.101,555,146,417,nan,1.8
"Jan 1, 12:00 pm",0.584618,16.2,584.618,584.618,40.6938,0.16,1,1,1,609.887,0,1,95.8567,36.5994,0,733.284,0.584618,1,0,729.475,810,88,487,nan,2.1
"Jan 1, 01:00 pm",0.49518,16.5,495.18,495.18,45.2272,0.16,1,1,1,517.164,0,1,95.7492,31.9455,0,610.11,0.49518,1,0,605.658,655,112,405,nan,2.6
"Jan 1, 02:00 pm",0.215356,16,215.356,215.356,53.5119,0.16,1,1,1,227.06,0,1,94.8453,22.5393,0,263.235,0.215356,1,0,259.034,189,135,202,nan,2.7
"Jan 1, 03:00 pm",0.114212,15.6,114.212,114.212,64.0922,0.16,1,1,1,122.201,0,1,93.4626,19.2488,0,144.9,0.114212,1,0,140.98,116,83,109,nan,2.6
"Jan 1, 04:00 pm",0.00483289,11.2,4.83289,4.83289,75.9112,0.16,1,1,1,8.80351,0,1,54.8973,11.6705,0,17.7937,0.00483289,1,0,17.192,3,18,18,nan,1.5
"Jan 1, 05:00 pm",0,9.8,0,0,0,0.16,1,1,1,0,0,1,0,9.8,0,0,0,0,0,0,0,0,0,nan,1.5
"Jan 1, 06:00 pm",0,9.2,0,0,0,0.16,1,1,1,0,0,1,0,9.2,0,0,0,0,0,0,0,0,0,nan,1.5
"Jan 1, 07:00 pm",0,8.7,0,0,0,0.16,1,1,1,0,0,1,0,8.7,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 1, 08:00 pm",0,8.4,0,0,0,0.16,1,1,1,0,0,1,0,8.4,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 1, 09:00 pm",0,8.5,0,0,0,0.16,1,1,1,0,0,1,0,8.5,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 1, 10:00 pm",0,8.6,0,0,0,0.16,1,1,1,0,0,1,0,8.6,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 1, 11:00 pm",0,8.6,0,0,0,0.16,1,1,1,0,0,1,0,8.6,0,0,0,0,0,0,0,0,0,nan,1.8
"Jan 2, 12:00 am",0,8.2,0,0,0,0.16,1,1,1,0,0,1,0,8.2,0,0,0,0,0,0,0,0,0,nan,2
"Jan 2, 01:00 am",0,7.8,0,0,0,0.16,1,1,1,0,0,1,0,7.8,0,0,0,0,0,0,0,0,0,nan,2.2
"Jan 2, 02:00 am",0,7.4,0,0,0,0.16,1,1,1,0,0,1,0,7.4,0,0,0,0,0,0,0,0,0,nan,2.3
"Jan 2, 03:00 am",0,7,0,0,0,0.16,1,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,nan,2.2
"Jan 2, 04:00 am",0,6.8,0,0,0,0.16,1,1,1,0,0,1,0,6.8,0,0,0,0,0,0,0,0,0,nan,2.1
"Jan 2, 05:00 am",0,6.7,0,0,0,0.16,1,1,1,0,0,1,0,6.7,0,0,0,0,0,0,0,0,0,nan,2.1
"Jan 2, 06:00 am",0,6.7,0,0,0,0.16,1,1,1,0,0,1,0,6.7,0,0,0,0,0,0,0,0,0,nan,2.2
"Jan 2, 07:00 am",0.0176938,7.7,17.6938,17.6938,78.1738,0.16,1,1,1,22.1369,0,1,79.9291,8.71638,0,49.7432,0.0176938,1,0,41.0149,167,16,21,nan,2.3
"Jan 2, 08:00 am",0.158096,9.7,158.096,158.096,66.2521,0.16,1,1,1,167.697,0,1,94.2749,14.5377,0,196.446,0.158096,1,0,189.104,319,50,113,nan,2.7
"Jan 2, 09:00 am",0.087153,11.9,87.153,87.153,55.3487,0.16,1,1,1,94.1478,0,1,92.5705,14.4005,0,109.858,0.087153,1,0,107.018,11,105,109,nan,3.2
"Jan 2, 10:00 am",0.23941,14,239.41,239.41,46.5072,0.16,1,1,1,251.998,0,1,95.0047,19.9459,0,290.906,0.23941,1,0,285.096,116,188,238,nan,3.9
"Jan 2, 11:00 am",0.244953,15.3,244.953,244.953,41.118,0.16,1,1,1,257.744,0,1,95.0371,20.9263,0,299.768,0.244953,1,0,293.601,101,209,258,nan,4.5
"Jan 2, 12:00 pm",0.526579,16.1,526.579,526.579,40.5913,0.16,1,1,1,549.716,0,1,95.791,27.8502,0,640.702,0.526579,1,0,635.639,619,130,436,nan,4.7
"Jan 2, 01:00 pm",0.529533,16.4,529.533,529.533,45.0987,0.16,1,1,1,552.779,0,1,95.7947,28.5178,0,642.562,0.529533,1,0,638.808,739,88,420,nan,4.5
"Jan 2, 02:00 pm",0.464255,15.8,464.255,464.255,53.3741,0.16,1,1,1,485.103,0,1,95.7024,27.633,0,559.148,0.464255,1,0,556.28,785,66,347,nan,3.7
"Jan 2, 03:00 pm",0.287402,15.2,287.402,287.402,63.9542,0.16,1,1,1,301.753,0,1,95.2441,23.3711,0,353.64,0.287402,1,0,344.393,642,52,198,nan,3.1
"Jan 2, 04:00 pm",0.0435342,10.7,43.5342,43.5342,75.7801,0.16,1,1,1,48.9266,0,1,88.9787,13.2596,0,102.325,0.0435342,1,0,89.4431,269,25,43,nan,1.5
"Jan 2, 05:00 pm",0,9.5,0,0,0,0.16,1,1,1,0,0,1,0,9.5,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 2, 06:00 pm",0,9.2,0,0,0,0.16,1,1,1,0,0,1,0,9.2,0,0,0,0,0,0,0,0,0,nan,1
"Jan 2, 07:00 pm",0,9.2,0,0,0,0.16,1,1,1,0,0,1,0,9.2,0,0,0,0,0,0,0,0,0,nan,0.7
"Jan 2, 08:00 pm",0,9.3,0,0,0,0.16,1,1,1,0,0,1,0,9.3,0,0,0,0,0,0,0,0,0,nan,0.5
"Jan 2, 09:00 pm",0,9.4,0,0,0,0.16,1,1,1,0,0,1,0,9.4,0,0,0,0,0,0,0,0,0,nan,0.4
"Jan 2, 10:00 pm",0,9.5,0,0,0,0.16,1,1,1,0,0,1,0,9.5,0,0,0,0,0,0,0,0,0,nan,0.4
"Jan 2, 11:00 pm",0,9.3,0,0,0,0.16,1,1,1,0,0,1,0,9.3,0,0,0,0,0,0,0,0,0,nan,0.4
"Jan 3, 12:00 am",0,8.9,0,0,0,0.16,1,1,1,0,0,1,0,8.9,0,0,0,0,0,0,0,0,0,nan,0.6
"Jan 3, 01:00 am",0,8,0,0,0,0.16,1,1,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,nan,0.8
"Jan 3, 02:00 am",0,6.9,0,0,0,0.16,1,1,1,0,0,1,0,6.9,0,0,0,0,0,0,0,0,0,nan,1.1
"Jan 3, 03:00 am",0,6.2,0,0,0,0.16,1,1,1,0,0,1,0,6.2,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 3, 04:00 am",0,5.7,0,0,0,0.16,1,1,1,0,0,1,0,5.7,0,0,0,0,0,0,0,0,0,nan,1.3
"Jan 3, 05:00 am",0,5.5,0,0,0,0.16,1,1,1,0,0,1,0,5.5,0,0,0,0,0,0,0,0,0,nan,1.3
"Jan 3, 06:00 am",0,5.6,0,0,0,0.16,1,1,1,0,0,1,0,5.6,0,0,0,0,0,0,0,0,0,nan,1.3
"Jan 3, 07:00 am",0.006439,7.7,6.439,6.439,78.23,0.16,1,1,1,10.4686,0,1,61.5076,8.28448,0,22.8072,0.006439,1,0,19.9825,50,13,15,nan,1.4
"Jan 3, 08:00 am",0.235695,11.3,235.695,235.695,66.2922,0.16,1,1,1,248.147,0,1,94.9822,19.7237,0,293.694,0.235695,1,0,282.233,542,54,160,nan,1.9
"Jan 3, 09:00 am",0.318708,14.2,318.708,318.708,55.363,0.16,1,1,1,334.209,0,1,95.3619,23.9152,0,383.477,0.318708,1,0,379.592,436,107,253,nan,2.6
"Jan 3, 10:00 am",0.455683,16.3,455.683,455.683,46.4853,0.16,1,1,1,476.216,0,1,95.6883,28.9979,0,555.928,0.455683,1,0,551.288,578,121,372,nan,3.2
"Jan 3, 11:00 am",0.43696,18.1,436.96,436.96,41.0508,0.16,1,1,1,456.805,0,1,95.6557,29.6285,0,538.651,0.43696,1,0,532.3,418,181,386,nan,3.6
"Jan 3, 12:00 pm",0.472801,19.3,472.801,472.801,40.4818,0.16,1,1,1,493.963,0,1,95.7159,31.8526,0,586.286,0.472801,1,0,580.384,502,164,413,nan,3.6
"Jan 3, 01:00 pm",0.438594,19.9,438.594,438.594,44.9646,0.16,1,1,1,458.499,0,1,95.6586,32.0973,0,543.011,0.438594,1,0,537.908,519,140,374,nan,3.3
"Jan 3, 02:00 pm",0.455066,19.2,455.066,455.066,53.2321,0.16,1,1,1,475.577,0,1,95.6873,34.2883,0,562.728,0.455066,1,0,559.677,777,72,352,nan,2.3
